1.0,2019-04-30 09:27:00,2019-04-30 15:27:00
1.0,2019-05-03 09:26:00,2019-05-03 16:26:00
1.0,2019-05-04 10:05:00,2019-05-04 13:05:00
1.0,2019-05-06 09:23:00,2019-05-06 11:53:00
1.0,2019-05-06 12:29:00,2019-05-06 13:14:00
1.0,2019-05-07 09:13:00,2019-05-07 10:55:00
1.0,2019-05-08 11:18:00,2019-05-08 12:06:00
1.0,2019-05-09 08:56:00,2019-05-09 15:56:00
1.0,2019-05-10 09:22:00,2019-05-10 16:22:00
1.0,2019-05-13 09:57:00,2019-05-13 15:33:00
1.0,2019-05-14 09:48:00,2019-05-14 14:10:00
1.0,2019-05-15 09:34:00,2019-05-15 14:34:00
1.0,2019-05-16 09:27:00,2019-05-16 13:27:00
1.0,2019-05-16 13:57:00,2019-05-16 16:27:00
1.0,2019-05-17 08:47:00,2019-05-17 16:17:00
1.0,2019-05-20 12:49:00,2019-05-20 15:39:00
1.0,2019-05-21 09:25:00,2019-05-21 11:52:00
